title,channel_name,원곡명,아티스트
HAPPEN (헤픈 우연),Heize - Topic,헤픈 우연,Heize
It Means I Like You (고마워를 말할테니까),UmYull - Topic,고마워를 말할테니까,UmYull
It Takes Time (Feat. Colde),Loco - Topic,It Takes Time,Loco
Event Horizon (사건의 지평선),Younha - Topic,사건의 지평선,Younha
"NOAH (Feat. 박재범 Jay Park, Hoody)",HAON - Topic,NOAH,HAON
"Siren Remix (Feat. UNEDUCATED KID, Paul Blanco) (사이렌 Remix (Feat. UNEDUCATED KID, Paul...",Homies - Topic,Siren Remix,Homies
Panic! At The Disco - High Hopes (Official Video),Panic! At The Disco,High Hopes,Panic! At The Disco
High Hopes,Panic! At The Disco - Topic,High Hopes,Panic! At The Disco
PUZZLE (Feat. CHEEZE),TOIL - Topic,PUZZLE,TOIL
"나만, 봄",BOL4 - Topic,"나만, 봄",BOL4
Memory Of The Wind,Naul - Topic,Memory Of The Wind,Naul
Suzume (feat. Toaka),RADWIMPS - Topic,Suzume ,RADWIMPS
Dying Every Second (with. Han Yo Han) (매초마다 죽어가고 있어 (with. 한요한)),YONGYONG - Topic,매초마다 죽어가고 있어,YONGYONG
子供騙し,Rokudenashi - Topic,子供騙し,Rokudenashi 
기다리다,Younha - Topic,기다리다,Younha
Algernon,Yorushika - Topic,Algernon,Yorushika
Catch You Catch Me,DAZBEE - Topic,Catch You Catch Me,DAZBEE
Trip (Feat. Hannah),Leellamarz - Topic,Trip,Leellamarz 
Parallel World,DAZBEE - Topic,Parallel World,DAZBEE
별 보러 갈래?,BOL4 - Topic,별 보러 갈래?,BOL4
연애소설 (Love Story) ft. IU,EPIK HIGH - Topic,연애소설,EPIK HIGH
Another Night Passing By,Pateko - Topic,Another Night Passing By,Pateko
우주를 줄게,BOL4 - Topic,우주를 줄게,BOL4
Just 10 centimeters (딱 10CM만),10CM - Topic,딱 10CM만,10CM
BBIBBI (삐삐),IU - Topic,삐삐,IU 
"비도 오고 그래서 You, Clouds, Rain (Feat. 신용재 Shin Yong Jae)",Heize - Topic,비도 오고 그래서,Heize
OST (OST),ASH ISLAND - Topic,OST,ASH ISLAND
Rooftop (옥탑방 (Rooftop)),N.Flying - Topic,옥탑방,N.Flying
Really Like You,Gyubin - Topic,Really Like You,Gyubin
좋다고 말해,BOL4 - Topic,좋다고 말해,BOL4 
Vancouver (Vancouver),BIG Naughty - Topic,Vancouver,BIG Naughty
헤이즈 (Heize) - 널 너무 모르고 (Don't know you) MV,Stone Music Entertainment,헤이즈,널 너무 모르고
Wasureji No Kotonoha,DAZBEE - Topic,Wasureji No Kotonoha,DAZBEE 
Left-Right Confusion,Yorushika - Topic,Left-Right Confusion,Yorushika
You (=I),BOL4 - Topic,You (=I),BOL4 
テルーの唄 (手嶌葵；ゲド戦記 OST) ／ダズビー COVER,DAZBEE official,テルーの唄,手嶌葵
Traffic Control (교통정리) (Feat. HEIZE) (헤이즈),GIRIBOY - Topic,교통정리,헤이즈
여행,BOL4 - Topic,여행,BOL4
The Beginning Of Love (시작),KyoungSeo - Topic,The Beginning Of Love,KyoungSeo
eight (Prod. & Feat. SUGA of BTS) (에잇(Prod. & Feat. SUGA of BTS)),IU - Topic,에잇,IU
나만 안되는 연애,BOL4 - Topic,나만 안되는 연애,BOL4
OHAYO MY NIGHT,디핵 (D-Hack) - Topic,OHAYO MY NIGHT,디핵
Hopeless Romantic (Feat. LEE SUHYUN) (사랑이라 믿었던 것들은 (Feat. 이수현)),BIG Naughty - Topic,사랑이라 믿었던 것들은,BIG Naughty
FRIEND THE END,BOL4 - Topic,FRIEND THE END,BOL4
ヨルシカ - へび（OFFICIAL VIDEO）,ヨルシカ / n-buna Official,へび,ヨルシカ
神様はいつでも / CONA【Official MV】,CONA,神様はいつでも,CONA
예뻤어 You Were Beautiful,DAY6 - Topic,예뻤어,DAY6
Distant Thunder,tayori - Topic,Distant Thunder,tayori
Beyond Love (Feat. 10CM) (정이라고 하자 (Feat. 10CM)),BIG Naughty - Topic,정이라고 하자,BIG Naughty
Love story,BOL4 - Topic,Love story,BOL4
D (Half Moon),DEAN - Topic,Half Moon,DEAN
밤 (Night),dori - Topic,밤,dori
Sleepless (Prod. ROCOBERRY),DINDIN - Topic,Sleepless,DINDIN
Meaning of you (너의 의미 (feat. 김창완)),IU - Topic,너의 의미,IU
I remember,ASH ISLAND - Topic,I remember,ASH ISLAND
한 페이지가 될 수 있게 Time of Our Life,DAY6 - Topic,한 페이지가 될 수 있게,DAY6
나의 사춘기에게,BOL4 - Topic,나의 사춘기에게,BOL4
いかないで (想太) ／ダズビー COVER,DAZBEE official,いかないて,想太
三月のパンタシア 『幸福なわがまま』,三月のパンタシア Official YouTube Channel,幸福なわがまま,三月のパンタシア
金曜日のおはよう-another story-／HoneyWorks【Covered by Hanon】,Hanon,金曜日のおはよう,HoneyWorks
常緑 (大橋ちっぽけ) ／ダズビー COVER,DAZBEE official,常緑,大橋ちっぽけ
HELP!! - Kobo Kanaeru (Cover) / KMNZ NERO,NERO Music,HELP!! ,Kobo Kanaeru
青い子 - 夏端月の青さだけ MV,青い子 / AOIKO,夏端月の青さだけ,青い子
ヨルシカ - だから僕は音楽を辞めた (Music Video),ヨルシカ / n-buna Official,だから僕は音楽を辞めた,ヨルシカ
藍月なくる - ご注文はえいえんに (Animation MV),藍月なくる / Aitsuki Nakuru,ご注文はえいえんに,藍月なくる
Flamingo (米津玄師) -acoustic arrange-／DAZBEE × 模(katagi),DAZBEE official,Flamingo,米津玄師
Discord (Discord),QWER - Topic,Discord,QWER
color,yama - Topic,color,yama
Sympathy,DAZBEE - Topic,Sympathy,DAZBEE
勇者,YOASOBI - Topic,勇者,YOASOBI
"Ghosts, We are (Intro)",UmYull - Topic,"Ghosts, We are",UmYull
ツユ - 泥の分際で私だけの大切を奪おうだなんて MV,ツユ,泥の分際で私だけの大切を奪おうだなんて,ツユ
灰色と青 (米津玄師，菅田将暉) / cover,haita,灰色と青,米津玄師，菅田将暉
BUMP OF CHICKEN「I」（Official Audio）,BUMP OF CHICKEN,I,BUMP OF CHICKEN
YOASOBI「怪物」Official Music Video　(YOASOBI - Monster),Ayase / YOASOBI,怪物,YOASOBI
抜錨 / ナナホシ管弦楽団 -Cover- ウォルピスカーター,ウォルピス社,抜錨,ナナホシ管弦楽団
Ooh Ahh (My Life Be Like) (feat. Tobymac),Grits - Topic,Ooh Ahh (My Life Be Like),Grits 
Lose Yourself,Eminem - Topic,Lose Yourself,Eminem
【MV】携帯恋話／まふまふ,まふまふちゃんねる,携帯恋話,まふまふちゃんねる
少女A(Young Girl A) - 椎名もた / 町田ちま(Cover),町田ちま【にじさんじ】,少女A,椎名もた
Sequel,LUCY - Topic,Sequel,LUCY
QUASAR (퀘이사),Younha - Topic,퀘이사,Younha
I'll Dive Into You (너에게 가고 있어),LUCY - Topic,너에게 가고 있어,LUCY
Algorithm (나색그래피티),Release - Topic,나색그래피티,Release
격돌! 고백작전,Release - Topic,격돌! 고백작전,Release
Voyage,Arahashi Tabi - Topic,Voyage,Arahashi Tabi
Voice Mail (전하고 싶은 건),UmYull - Topic,전하고 싶은 건,UmYull
Color It,Release - Topic,Color It,Release
Onward (지금부터),Hebi - Topic,지금부터,Hebi
Curse for the rocket formula (로켓방정식의 저주),Younha - Topic,로켓방정식의 저주,Younha
Make-up Shadow,Yorushika - Topic,Make-up Shadow,Yorushika
GO FOR IT,HYNN - Topic,GO FOR IT,HYNN
The Flame of Love,Rokudenashi - Topic,The Flame of Love,Rokudenashi
EVER (늘 (EVER)),Hebi - Topic,늘,Hebi
Haikei Shounenyo,Hump Back - Topic,Haikei Shounenyo,Hump Back
별이 쏟아지는 미라클,신의진 - Topic,별이 쏟아지는 미라클,신의진
Don′t say Goodbye,Park Da Hye - Topic,Don′t say Goodbye,Park Da Hye
カトレア,Yorushika - Topic,カトレア,Yorushika
"Heart, Stolen (귀여운 도둑)",KIM YUNA - Topic,귀여운 도둑,KIM YUNA
空奏列車 (Orangestar) Coverㅣ 藍璃かんな x VESPERBELL ヨミ,아이리 칸나 Music Official,空奏列車,Orangestar
Courage of Kindness (상냥함의 용기),UmYull - Topic,상냥함의 용기,UmYull 
Starting With You ❍,Park Da Hye - Topic,Starting With You,Park Da Hye
토끼 (tokki),Woo Ye Rin - Topic,토끼,Woo Ye Rin
Crush on U (그 아이가 고백했다),UmYull - Topic,그 아이가 고백했다,UmYull
보라색 계단 (feat. 별은),MEANSHOCK - Topic,보라색 계단,MEANSHOCK
Areum,Odd Child - Topic,Areum,Odd Child
Puppet Show,UmYull - Topic,Puppet Show,UmYull 
LADY (米津玄師) / 藍璃かんな Cover,아이리 칸나 Music Official,LADY,米津玄師
free flight,Shin Ji Hoon - Topic,free flight,Shin Ji Hoon
G9JB (지구정복),QWER - Topic,지구정복,QWER
From The Heart (마음의 형태),UmYull - Topic,마음의 형태,UmYull
It's a sunny day (오늘 날씨 맑음),Meriberry - Topic,오늘 날씨 맑음,Meriberry
"Love, Maybe (사랑인가 봐)",SECRET NUMBER - Topic,사랑인가 봐,SECRET NUMBER
행운을 부탁해,Boramiyu - Topic,행운을 부탁해,Boramiyu
Cloud Child,UmYull - Topic,Cloud Child,UmYull
Blue Whale (흰수염고래),QWER - Topic,흰수염고래,QWER 
Bye Bye (Feat. LEE MU JIN) (바이 바이 (Feat. 이무진)),BIG Naughty - Topic,Bye Bye,BIG Naughty
サクラキミワタシ - SAKURA KIMI WATASHI,tuki. - Topic,サクラキミワタシ,tuki.
Force Majeure,UmYull - Topic,Force Majeure,UmYull
Everlasting (만년설 (Everlasting)),N.Flying - Topic,만년설,N.Flying
ヨルシカ - ただ君に晴れ (MUSIC VIDEO),ヨルシカ / n-buna Official,ただ君に晴れ,ヨルシカ
SPiCa (とくP) ／ダズビー COVER,DAZBEE official,SPiCa,とくP
튤립 (tulip),Woo Ye Rin - Topic,튤립,Woo Ye Rin
"Goodbye My Sadness (안녕, 나의 슬픔)",QWER - Topic,"안녕, 나의 슬픔",QWER
Jenga (Feat. Gaeko),Heize - Topic,Jenga,Heize
Lovestruck,DAZBEE - Topic,Lovestruck,DAZBEE
보고 싶어질 때면,Pateko - Topic,보고 싶어질 때면,Pateko
flutter (봄이야),KyoungSeo - Topic,봄이야,KyoungSeo
화;월 (花月),Woo Ye Rin - Topic,화;월,Woo Ye Rin
すいそうぐらし「それでも好きだよ。」 Official Music Video,すいそうぐらし official,それでも好きだよ。,すいそうぐらし
くすぐったい。／CHiCO with HoneyWorks,CHiCO / CHiCO with HoneyWorks,くすぐったい。,CHiCO with HoneyWorks
ムカつく feat. 瀬戸口清武（CV：岡本信彦）／HoneyWorks,HoneyWorks OFFICIAL,ムカつく,HoneyWorks
場末 (DADARAY) ／ダズビー COVER,DAZBEE official,場末,DADARAY
SKYBLUE,Homies - Topic,SKYBLUE,Homies
Forget it,Yorushika - Topic,Forget it,Yorushika
ヒッチコック,Yorushika - Topic,ヒッチコック,Yorushika
Bipolar,UmYull - Topic,Bipolar,UmYull 
Come to me (그대 내게로),Raon - Topic,그대 내게로,Raon
息継ぎ,Rokudenashi - Topic,息継ぎ,Rokudenashi
純恋愛のインゴット - Pure Love Ingot,tuki. - Topic,純恋愛のインゴット,tuki.
T.B.H (고민중독),QWER - Topic,고민중독,QWER
One Flower,UmYull - Topic,One Flower,UmYull
혜성,Younha - Topic,혜성,Younha
眼差し,Rokudenashi - Topic,眼差し,Rokudenashi
Stealth,UmYull - Topic,Stealth,UmYull 
だから僕は音楽を辞めた,Yorushika - Topic,だから僕は音楽を辞めた,Yorushika
Sore Ga Anata No Shiawase To Shite Mo,DAZBEE - Topic,Sore Ga Anata No Shiawase To Shite Mo,DAZBEE
Love Innocence,UmYull - Topic,Love Innocence,UmYull
Dear (눈물참기),QWER - Topic,눈물참기,QWER
*Luna - アナザードリーマー (Another Dreamer) feat.Kagamine Len,*Luna,アナザードリーマー,*Luna
三月のパンタシア 『ビタースイート』,三月のパンタシア Official YouTube Channel,ビタースイート,三月のパンタシア
【MV】Daikirai Na Hazu Datta - Honeyworks || HAKOS BAELZ X IRYS COVER,Hakos Baelz Ch. hololive-EN,Daikirai Na Hazu Datta,Honeyworks
【フリーBGM】流星のサイトシーイング - イグニッションボイス feat.雪希【歌あり】,流星のサイトシーイングOfficial,イグニッションボイス,流星のサイトシーイング
きみに回帰線 (稲葉曇) ／ダズビー COVER,DAZBEE official,きみに回帰線,稲葉曇
ウワサのあの子 (紫 今) ／ダズビー COVER,DAZBEE official,ウワサのあの子,紫 今
푸름과 여름 (Mrs. GREEN APPLE) / 텐코 시부키(Tenko Shibuki) cover,텐코 시부키 TENKO SHIBUKI,푸름과 여름,Mrs. GREEN APPLE
【cover】とても素敵な六月でした/香音(KANON),酔シグレ: Yoishigure,とても素敵な六月でした,香音
DAZBEE (ダズビー) | ‘Lovestruck’ M/V,DAZBEE official,Lovestruck,DAZBEE
『青の魔法』Music Video ／ チョーキューメイ,チョーキューメイ,青の魔法,チョーキューメイ
終焉逃避行 / 柊マグネタイト -Cover- ウォルピスカーター,ウォルピス社,終焉逃避行,柊マグネタイト
Calc.／莉犬　【歌ってみた】,莉犬くん【すとぷり】,Calc.,莉犬
星になった日  / ヒバナ【Music Video】（The day i became a star）,ヒバナ - HIBANA -,星になった日,ヒバナ
ずうっといっしょ！ / キタニタツヤ【covered by Kotoha】,Kotoha,ずうっといっしょ！,キタニタツヤ
Chinozo 'グッバイ宣言' feat.FloweR,Chinozo,グッバイ宣言,Chinozo
モニタリング / DECO*27 full covered by 春茶,春茶,モニタリング,DECO*27
ヨルシカ LIVE「歩く / 心に穴が空いた」,ヨルシカ / n-buna Official,歩く / 心に穴が空いた,ヨルシカ
秒針を噛む (ずっと真夜中でいいのに。) -Latin Jazz Arrange-／ダズビー COVER,DAZBEE official,秒針を噛む,ずっと真夜中でいいのに。
Coriolis force (코리올리 힘),Younha - Topic,코리올리 힘,Younha
Nostalgia,MRCH - Topic,Nostalgia,MRCH
I don’t want to,IT'S - Topic,I don’t want to,IT'S
Shut Down,TOUCHED - Topic,Shut Down,TOUCHED
Black hole (Black hole),Younha - Topic,Black hole,Younha
Life review (라이프리뷰),Younha - Topic,라이프리뷰,Younha
The Compass,HANRORO - Topic,The Compass,HANRORO
Walldam,UmYull - Topic,Walldam,UmYull
Fireflies,TOUCHED - Topic,Fireflies,TOUCHED
소나기,Younha - Topic,소나기,Younha
ニセモノの友達,Milky Way - Topic,ニセモノの友達,Milky Way
Camouflage,aespa - Topic,Camouflage,aespa
Door of Time,Youth Scene - Topic,Door of Time,Youth Scene
JUVENILE,JUNGWOO - Topic,JUVENILE,JUNGWOO
경계선,LETO - Topic,경계선,LETO
Hear My Love,Release - Topic,Hear My Love,Release
Lifeguard,IT'S - Topic,Lifeguard,IT'S
Flower,gongwon - Topic,Flower,gongwon
Party All Night,FAITH - Topic,Party All Night,FAITH
Human mechanism,MRCH - Topic,Human mechanism,MRCH
어쩌다보니 Somehow,DAY6 - Topic,어쩌다보니,DAY6
자처,HANRORO - Topic,자처,HANRORO
혹은 진실,O.O.O - Topic,혹은 진실,O.O.O
流光,After Tales - Topic,流光,After Tales
Forever Has Always Been,Redoor - Topic,Forever Has Always Been,Redoor
"If I am with you, it`s always spring",Kim Hye Rim - Topic,"If I am with you, it`s always spring",Kim Hye Rim
Late Spring Call,제이엠진 JM jin - Topic,Late Spring Call,제이엠진
Warak - 끝났다는 것은 다시 시작된다는 것을 (Feat. 강아윤) ··· 산나비 엔딩곡,Warak,끝났다는 것은 다시 시작된다는 것을,Warak
Mangrove tree (맹그로브),Younha - Topic,맹그로브,Younha
danceasphalt,regallily - Topic,danceasphalt,regallily
High Noon,THORNAPPLE - Topic,High Noon,THORNAPPLE
Pseudonym,suisoh - Topic,Pseudonym,suisoh
Oasis,Kkuek - Topic,Oasis,Kkuek
If Tomorrow Comes,IT'S - Topic,If Tomorrow Comes,IT'S
PAST THE MOON,I love you Orchestra Swing Style - Topic,PAST THE MOON,I love you Orchestra Swing Style
MRCH Mood,MRCH - Topic,MRCH Mood,MRCH
GAME OVER ?,HANRORO - Topic,GAME OVER ?,HANRORO
Mirage,tayori - Topic,Mirage,tayori 
Get Back,TOUCHED - Topic,Get Back,TOUCHED
어쩔 수 없잖아,Vincent Nuit - Topic,어쩔 수 없잖아,Vincent Nuit
Daydream,YdBB - Topic,Daydream,YdBB
Breeze!,Sujo - Topic,Breeze!,Sujo
Wish You Happiness,YIYA - Topic,Wish You Happiness,YIYA
H O M E,HANRORO - Topic,H O M E,HANRORO
"Fading Person, Fading Love",IT'S - Topic,"Fading Person, Fading Love",IT'S
Bitter Loss,DAZBEE - Topic,Bitter Loss,DAZBEE
ヘイセイサヨナラバイバイ MV,ツユ,ヘイセイサヨナラバイバイ,ツユ
【Ado】夜のくじら 歌いました,Ado,夜のくじら 歌いました,Ado
Calc. (ジミーサムP) ／ダズビー COVER,DAZBEE official,Calc.,ジミーサムP
ぷす - 下克上 MV,ツユ,下克上,ツユ
ふり,NICHIMEZO - Topic,ふり,NICHIMEZO
Yoakeno Uta,M2u - Topic,Yoakeno Uta,M2u
주름맞추기 (しわあわせ / Vaundy)  / 유즈하 리코(Yuzuha Riko) cover,유즈하 리코 YUZUHA RIKO,しわあわせ,Vaundy
違法建築,Rei - Topic,違法建築,Rei
flos - R Sound Design / covered by 涼海ネモ,涼海ネモ / Nemo Channel【ななしいんく】,flos,R Sound Design
セカイ / DECO*27×堀江晶太(kemu) 【Covered by Kotoha】,Kotoha,セカイ,DECO*27
ツユ - 貴方を不幸に誘いますね,ツユ,貴方を不幸に誘いますね,ツユ
daybreak frontline (Orangestar) / Hebi. cover,Hebi.,daybreak frontline,Orangestar
ERROR (nikiP) / 藍璃かんな Cover,아이리 칸나 Music Official,ERROR,nikiP
ビアンカ,Rei - Topic,ビアンカ,Rei
水流のロック (日食なつこ)  Piano Arrange ver.／ダズビー COVER,DAZBEE official,水流のロック,日食なつこ
勇者（YOASOBI） / covered by 藍月なくる,藍月なくる / Aitsuki Nakuru,勇者,YOASOBI
*Luna - アトラクトライト (Attract Light) feat.ゆある 【2021.1.28小説発売!!】,*Luna,アトラクトライト,*Luna
予熱,Rei - Topic,予熱,Rei
ツユ - あの世行きのバスに乗ってさらば。 MV,ツユ,あの世行きのバスに乗ってさらば,ツユ
Peachy,MRCH - Topic,Peachy,MRCH
#RUN (#RUN),LEE CHANGSUB - Topic,#RUN,LEE CHANGSUB
Angel (Feat. Tae Yeon),Chancellor - Topic,Angel,Chancellor
Back To Me,The Rose - Topic,Back To Me,The Rose
이승윤 - 푸념,이승윤,푸념,이승윤
ROCK & ROLL,IT'S - Topic,ROCK & ROLL,IT'S
Sweetheart (백설탕),MONSTA X - Topic,백설탕,MONSTA X
Radio Silence (지구소년),Dragon Pony - Topic,지구소년,Dragon Pony
Take My Half,TOMORROW X TOGETHER - Topic,Take My Half,TOMORROW X TOGETHER
Burning Sunset,Ha Hyun Sang - Topic,Burning Sunset,Ha Hyun Sang 
Crack in the mirror,Xdinary Heroes - Topic,Crack in the mirror,Xdinary Heroes
Our Night (Feat. Yu Seungwoo),YdBB - Topic,Our Night,YdBB
No Fate,ECLIPSE - Topic,No Fate,ECLIPSE
Meteor Shower (한여름 밤 유성우),ONEWE - Topic,한여름 밤 유성우,ONEWE
태양처럼 Like That Sun,DAY6 - Topic,태양처럼,DAY6
날아올라,LUCY - Topic,날아올라,LUCY
Planet,Kim Hye Rim - Topic,Planet,Kim Hye Rim
Someday,BOL4 - Topic,Someday,BOL4
Go Away (Go Away),woo!ah! - Topic,Go Away,woo!ah! 
뚫고 지나가요 Right Through Me,DAY6 - Topic,뚫고 지나가요,DAY6
Propose (PROPOSE),Younha - Topic,PROPOSE,Younha
사랑할 수밖에,BOL4 - Topic,사랑할 수밖에,BOL4
영화처럼,MRCH - Topic,영화처럼,MRCH
Seasonal Crime,Younha - Topic,Seasonal Crime,Younha
Song For Youth,UmYull - Topic,Song For Youth,UmYul
Flower rain,IT'S - Topic,Flower rain,IT'S
Truly (Truly),Younha - Topic,Truly,Younha
스노우볼,BOL4 - Topic,스노우볼,BOL4
0+0,HANRORO - Topic,0+0,HANRORO
Young K - “Is It(맞나요)” Official Audio,DAY6,맞나요,DAY6
Pain,Ha Hyun Sang - Topic,Pain,Ha Hyun Sang
Love is Dangerous,TOUCHED - Topic,Love is Dangerous,TOUCHED
입춘,HANRORO - Topic,입춘,HANRORO
Congratulations,DAY6 - Topic,Congratulations,DAY6
Flowering,LUCY - Topic,Flowering,LUCY
DAYBREAK FRONTLINE,m - Topic,DAYBREAK FRONTLINE,m
スピカ,Rokudenashi - Topic,スピカ,Rokudenashi 
Henceforth - Orangestar / covered by 涼海ネモ,涼海ネモ / Nemo Channel【ななしいんく】,Henceforth,Orangestar
링고,MRCH - Topic,링고,MRCH
ヨルシカ - 忘れてください（OFFICIAL VIDEO）,ヨルシカ / n-buna Official,忘れてください,ヨルシカ
Henceforth(Orangestar) / Hebi. cover,Hebi.,Henceforth,Orangestar
Girl Is a Hard Rocker,peanut butters - Topic,Girl Is a Hard Rocker,peanut butters
Yoru Wo Nobashite,Sundae May Club - Topic,Yoru Wo Nobashite,Sundae May Club
Welcome!,HANRORO - Topic,Welcome!,HANRORO
悪口,Chiai Fujikawa - Topic,悪口,Chiai Fujikawa
Kyoto,WISUE - Topic,Kyoto,WISUE
東京エレキテル,FINLANDS - Topic,東京エレキテル,FINLANDS
Farther and Farther,LUCY - Topic,Farther and Farther,LUCY
Lovers,MRCH - Topic,Lovers,MRCH
Looking at you,이예린(Lee Yerin) - Topic,Looking at you,이예린
21 (ft. Hwang Leen),KimYeji - Topic,21,KimYeji
Lonely dayy (feat. Kimos),YongYong - Topic,Lonely dayy,YongYong
Love Needs Courage (사랑엔 용기가 필요해),YeonJeong - Topic,사랑엔 용기가 필요해,YongYong
Draw,Re.may - Topic,Draw,Re.may
Wings,Kim Hye Rim - Topic,Wings,Kim Hye Rim
Take All My Heart,DAY6 - Topic,Take All My Heart,DAY6
Promises,YdBB - Topic,Promises,YdBB
96,SpecialThanks - Topic,96,SpecialThanks
As You Wished,Fin Fior - Topic,As You Wished,Fin Fior
EUROPA (너에게로 (EUROPA)),HYNN - Topic,너에게로,HYNN
Good for U,H1-KEY - Topic,Good for U,H1-KEY
eternal,Yoon Jiyoung - Topic,eternal,Yoon Jiyoung
Supersonic,Younha - Topic,Supersonic,Younha
Birthday Song,Kim Marie - Topic,Birthday Song,Kim Marie
Butterfly,IT'S - Topic,Butterfly,IT'S
Can I Be Me? (도망),HANRORO - Topic,도망,HANRORO
A song (2020),MRCH - Topic,A song,MRCH
Love = Lotto ?,soonae - Topic,Love = Lotto ?,soonae
Ruby,TOUCHED - Topic,Ruby,TOUCHED
Red Wine,Rolling Quartz - Topic,Red Wine,Rolling Quartz
TOKKEBI-BULL,KARDI - Topic,TOKKEBI-BULL,KARDI
WHY,YdBB - Topic,WHY,YdBB
Stand Up!,TOUCHED - Topic,Stand Up!,TOUCHED
After A Love Is Over (feat. Sibiwol),Second Star - Topic,After A Love Is Over,Second Star 
Let Me Show You,YdBB - Topic,Let Me Show You,YdBB
Under the Same Night,Im Ga Young - Topic,Under the Same Night,Im Ga Young
Where's Your Love,LUCY - Topic,Where's Your Love,LUCY
"Goodbye, My Summer",HANRORO - Topic,"Goodbye, My Summer",HANRORO
Savior (Savior),Younha - Topic,Savior,Younha
Fluffy Seed,IT'S - Topic,Fluffy Seed,IT'S
My world your world,MRCH - Topic,My world your world,MRCH
To the Dawn,MRCH - Topic,To the Dawn,MRCH
꿈속에서,Release - Topic,꿈속에서,Release
Falling Flower,LUCY - Topic,Falling Flower,LUCY
fever (Prod. Architectures),IT'S - Topic,fever,IT'S
SKY HIGH,IT'S - Topic,SKY HIGH,IT'S
121U,DAY6 - Topic,121U,DAY6
The Dawn Star,TOUCHED - Topic,The Dawn Star,TOUCHED
Reason,THORNAPPLE - Topic,Reason,THORNAPPLE
Dizzy,YdBB - Topic,Dizzy,YdBB
おとぎ,RAY - Topic,おとぎ,RAY
Come back (Come back),Suzy - Topic,Come back,Suzy
비틀비틀 짝짜꿍,HANRORO - Topic,비틀비틀 짝짜꿍,HANRORO
Matryoshka,Dovlvl - Topic,Matryoshka,Dovlvl
미완성 멜로디 (Unfinished Melody),제이엠진 JM jin - Topic,미완성 멜로디,제이엠진
Aim for love : Heart Hunter Queen (Feat. Supercell Games),MRCH - Topic,Aim for love : Heart Hunter Queen,MRCH
Retrospective,Takanashi Kiara - Topic,Retrospective,Takanashi Kiara
I'll Love The Evening (저녁을 사랑하겠어),YeonJeong - Topic,저녁을 사랑하겠어,YeonJeong
Restart!,HANRORO - Topic,Restart!,HANRORO
Harmony of Stars (별의 하모니),QWER - Topic,별의 하모니,QWER
咫尺之遙,After Tales - Topic,咫尺之遙,After Tales
Ichirinka - Live,tuki. - Topic,Ichirinka,tuki. 
Flare,Jeon Jisun - Topic,Flare,Jeon Jisun
Fly!,Kim Marie - Topic,Fly!,Kim Marie
sugar,IT'S - Topic,sugar,IT'S 
Eisei,FINLANDS - Topic,Eisei,FINLANDS 
NEMESIS (feat. Saebit),Miiro - Topic,NEMESIS,Miiro
city 404,Kim Seung Joo - Topic,city 404,Kim Seung Joo
NO PAIN,Silica Gel - Topic,NO PAIN,Silica Gel
CAN'T KEEP SMILING!,YdBB - Topic,CAN'T KEEP SMILING!,YdBB
Hot!,LUCY - Topic,Hot!,LUCY
She (Feat. MRCH),moneto - Topic,She,moneto
거꾸로 피는 꽃 (Blooming Down),루미너스데이 (LUMINOUS DAY) - Topic,거꾸로 피는 꽃,루미너스데이
화해,HANRORO - Topic,화해,HANRORO
텔레파시 (텔레파시),Younha - Topic,텔레파시,Younha
Love Expiration Date - Live,tuki. - Topic,Love Expiration Date,tuki.
The Suspect,HANRORO - Topic,The Suspect,HANRORO
Love For Nihilists,Suzie True - Topic,Love For Nihilists,Suzie True
Monster (Meg and Dia’s Version),Meg & Dia - Topic,Monster,Meg & Dia
Classic (feat. MRCH),moneto - Topic,Classic ,moneto
80s,Aivy - Topic,80s,Aivy
Someday,SKUNK - Topic,Someday,SKUNK
Time and Trace,Ha Hyun Sang - Topic,Time and Trace,Ha Hyun Sang
Rules,The Volunteers - Topic,Rules,The Volunteers
Jogging,LUCY - Topic,Jogging,LUCY
ふたごのたましい,bungeitengoku - Topic,ふたごのたましい,bungeitengoku
You're Not A Saint (You're Just A Girl),Maderlin Weng - Topic,You're Not A Saint (You're Just A Girl),Maderlin Weng
Night Journey,Yorushika - Topic,Night Journey,Yorushika
You Changed My World,CHO JUNG SEOK - Topic,You Changed My World,CHO JUNG SEOK 
Pure Love Ingot - Live,tuki. - Topic,Pure Love Ingot,tuki.
恋の魔法,Centimental Lilly - Topic,恋の魔法,Centimental Lilly 
Love Love Love,Juhee - Topic,Love Love Love,Juhee
EXISTENTIAL CRISIS,WENDY - Topic,EXISTENTIAL CRISIS,WENDY
하루살이,HANRORO - Topic,하루살이,HANRORO
오늘은 내게 Lean on Me,DAY6 - Topic,오늘은 내게,DAY6
sleep walking,IT'S - Topic,sleep walking,IT'S
Eternal Bloom (Korean Version),MRCH - Topic,Eternal Bloom,MRCH
"그 밤, 너와 나 (Ver.2)",제이엠진 JM jin - Topic,"그 밤, 너와 나",제이엠진
Alive,TOUCHED - Topic,Alive,TOUCHED
HEAT,FINLANDS - Topic,HEAT,FINLANDS
準透明少年,Yorushika - Topic,準透明少年,Yorushika
Wakey Wakey,LUCY - Topic,Wakey Wakey,LUCY
B-DAY (feat. SHAUN),NANDAI BAMCO - Topic,B-DAY,NANDAI BAMCO
Tik Tak Tok,Silica Gel - Topic,Tik Tak Tok,Silica Gel
